Company,Email,Website,Batch,Vertical,Notes
Graphify Labs,careers@graphify.com,https://www.graphify.com/,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Waddle Labs,founders@waddlelabs.ai,https://www.waddlelabs.ai/,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
PRINCEPS,careers@princeps.dev,https://princeps.dev,Summer 2026,AI/ML,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Nori,help@nori.ai,https://nori.ai,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Almanac,rohan@usealmanac.com,https://usealmanac.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Hilstart,founders@hilstart.io,https://hilstart.io/,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Design Arena,contact@designarena.ai,https://www.designarena.ai/,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Maximal,founders@trymaximal.com,https://www.trymaximal.com,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Agency Tool Company,mailbox@agencytool.com,https://agencytool.com,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Certus AI,info@certus-ai.com,https://www.certus-ai.com/,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tweeks.io,contact@tweeks.io,https://tweeks.io,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Sentient OS,jesai@sentient-os.ai,https://sentient-os.ai,Fall 2026,AI,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Overstand Labs,info@overstandlabs.com,https://overstandlabs.com,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Speko,team@speko.ai,https://speko.ai/?utm_source=ycombinator&utm_medium=profile,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Zeon Systems,founders@zeonsystems.ai,https://www.zeonsystems.ai/,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Acolite,team@acolite.ai,https://acolite.ai,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
CopyCat,hello@runcopycat.com,https://runcopycat.com,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Exla,contact@exla.ai,https://exla.ai/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tegore,ende@tegore.ai,https://tegore.ai/,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
StarSling,founders@starsling.dev,https://starsling.dev/,Spring 2025,AI/DevTools,YC Spring 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Magnitude,founders@magnitude.dev,https://magnitude.dev,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Lotas,founders@lotas.ai,https://www.lotas.ai,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Bramante,support@bramantebio.com,https://www.bramantebio.com,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Cyberdesk,founders@cyberdesk.io,https://www.cyberdesk.io,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Kairos,team@withkairos.co,https://www.withkairos.co/,Spring 2025,AI/ML,YC Spring 2025 · AI/ML · cold email for opportunity; ask to forward to hiring manager
VibeFlow,founders@vibeflow.ai,https://vibeflow.ai/,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Lyon,founders@lyon.so,https://lyon.so,Summer 2026,ML,YC Summer 2026 · ML · cold email for opportunity; ask to forward to hiring manager
Bezel,kashyap@trybezel.com,https://www.trybezel.com/,Winter 2025,ML,YC Winter 2025 · ML · cold email for opportunity; ask to forward to hiring manager
Perseus,careers@perseus.computer,https://perseus.computer,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Alice.tech,support@alice.tech,https://www.alice.tech/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
LogosGuard,hello@logosguard.com,https://logosguard.com/,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
machine0,support@machine0.io,https://machine0.io,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Redoubt Insurance,andre@redoubt.agency,https://www.redoubt.agency,Fall 2026,AI,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Alter,security@alterauth.com,https://alterauth.com,Summer 2025,DevTools,YC Summer 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Spotlight Realty,support@spotlight.realty,https://www.spotlight.realty,Summer 2025,ML,YC Summer 2025 · ML · cold email for opportunity; ask to forward to hiring manager
Hoplite,sales@hoplite.sh,https://hoplite.sh,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Doe,jobs@doe.so,https://doe.so/,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Focal,founders@focalml.com,https://focalml.com,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Maritime,contact@maritime.sh,https://maritime.sh/,Fall 2026,DevTools,YC Fall 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Omnara,contact@omnara.com,https://omnara.com,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Boost Robotics,founders@boostrobotics.ai,https://www.boostrobotics.ai,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Clarm,marcus@clarm.com,https://www.clarm.com,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
assistant-ui,hello@assistant-ui.com,https://assistant-ui.com,Winter 2025,DevTools,YC Winter 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
KERNEL,security@kernel.sh,https://www.kernel.sh,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Patent Watch,alex@patentwatch.ai,https://www.patentwatch.ai/,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Scoop,legal@scooplabs.ai,https://scooplabs.ai,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Magic Hour,support@magichour.ai,https://magichour.ai,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Kashikoi,founders@getkashikoi.com,https://www.getkashikoi.com,Spring 2025,ML/DevTools,YC Spring 2025 · ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Aleph Lab,contact@alephlab.ai,http://alephlab.ai/,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tell if AI,team@tellif.ai,https://tellif.ai,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Philon,info@philon.ai,https://philon.ai/,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Forge,hello@forgehq.com,https://www.forgehq.com/,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Pleom,info@pleom.com,https://pleom.com,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Embedder,founders@embedder.com,https://www.embedder.com,Summer 2025,AI/DevTools,YC Summer 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Boom AI,privacy@useboom.ai,https://useboom.ai,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Keet,founders@trykeet.com,https://trykeet.com,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Corsair,dev@corsair.dev,https://www.corsair.dev,Winter 2025,DevTools,YC Winter 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
winfunc,hello@winfunc.com,https://winfunc.com,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Vespper,founders@vespper.com,https://vespper.com/?utm_source=ycombinator.com,Fall 2024,AI/DevTools,YC Fall 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Notte,hello@notte.cc,https://www.notte.cc/,Summer 2025,DevTools,YC Summer 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Moonshine,team@usemoonshine.com,https://usemoonshine.com,Fall 2024,AI/ML,YC Fall 2024 · AI/ML · cold email for opportunity; ask to forward to hiring manager
ParaQuery,support@paraquery.com,https://paraquery.com,Spring 2025,DevTools,YC Spring 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Alara,support@alaradental.com,http://alaradental.com,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Freestyle,jobs@freestyle.sh,https://www.freestyle.ai,Fall 2024,AI,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
mlop,founders@mlop.ai,https://mlop.ai,Spring 2025,ML/DevTools,YC Spring 2025 · ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Specific,careers@specific.dev,https://specific.dev,Fall 2025,DevTools,YC Fall 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Lapis,contact@trylapis.com,https://www.trylapis.com/,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
ideate.xyz,founders@ideate.xyz,https://ideate.xyz,Summer 2024,DevTools,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Attunement,jane@attunement.ai,http://attunement.ai,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Gumloop,agent@gumloop.com,https://www.gumloop.com/,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Alai,founders@getalai.com,https://getalai.com,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Happenstance,careers@happenstance.ai,https://happenstance.ai,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Unify,team@unify.ai,https://unify.ai,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Voker,support@voker.ai,https://voker.ai,Summer 2024,DevTools,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Downlink,hello@downlink.dev,https://downlink.dev/,Winter 2024,AI/DevTools,YC Winter 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
LemonSlice,founders@lemonslice.com,https://www.lemonslice.com,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Plume,founders@plumefinder.com,http://www.plumefinder.com,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Sorcerer,team@sorcerer.earth,https://sorcerer.earth,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Corgi Labs,woof@corgilabs.ai,https://www.corgilabs.ai,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
FactIQ,founders@factiq.com,https://factiq.com/,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Benchmark,hello@withbenchmark.com,https://withbenchmark.com/,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
TectoAI,founders@tecto.ai,https://www.tecto.ai/,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
InspectMind AI,support@inspectmind.ai,https://www.inspectmind.ai,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Propaya,info@propaya.com,https://www.propaya.com,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Zavo,hi@zavopay.com,https://zavopay.com,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Diffusion Studio,contact@diffusion.studio,https://diffusion.studio/,Fall 2024,AI,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Void,hello@useglass.ai,https://useglass.ai,Summer 2024,AI/DevTools,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Freebuff,team@freebuff.com,https://freebuff.com,Fall 2024,AI/DevTools,YC Fall 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Tiptap,humans@tiptap.dev,https://tiptap.dev/,Summer 2023,AI/DevTools,YC Summer 2023 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
TrainLoop,founders@trainloop.ai,http://trainloop.ai,Winter 2025,DevTools,YC Winter 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Lilac,contact@getlilac.com,https://getlilac.com,Summer 2025,ML,YC Summer 2025 · ML · cold email for opportunity; ask to forward to hiring manager
Twine,john@usetwine.com,http://www.usetwine.com,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Vera Health,contact@vera-health.ai,https://www.vera-health.ai,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Simplex,founders@simplex.sh,https://simplex.sh,Summer 2024,ML,YC Summer 2024 · ML · cold email for opportunity; ask to forward to hiring manager
The Context Company,founders@thecontextcompany.com,https://www.thecontextcompany.com,Fall 2025,DevTools,YC Fall 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Quetzal,brendan@getquetzal.com,https://getquetzal.com/,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
vly.ai,team@vly.ai,https://vly.ai,Fall 2024,AI,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Orca Client,support@orcaclient.com,https://orcaclient.com,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Breez Labs,founders@breezlabs.com,https://www.breezlabs.com/,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Pierre,pierre@pierre.co,https://pierre.co,Winter 2023,DevTools,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Melder,founders@melder.io,https://melder.io,Fall 2024,AI,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Automorphic,founders@automorphic.ai,https://automorphic.ai/,Summer 2023,DevTools,YC Summer 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Galini,contact@galini.ai,https://www.galini.ai/,Fall 2024,AI,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Pazi,support@pazi.ai,https://pazi.ai/,Winter 2024,DevTools,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Parallel,contact@beparallel.com,https://www.beparallel.com/?utm_source=ycombinator&utm_medium=directory,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Guide Labs,info@guidelabs.ai,https://www.guidelabs.ai/,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Veles,simon@getveles.com,http://www.getveles.com,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
CodeViz,sales@codeviz.ai,https://www.codeviz.ai/,Summer 2024,AI/DevTools,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Hatchet,contact@hatchet.run,https://hatchet.run,Winter 2024,DevTools,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Modus,support@himodus.com,https://himodus.com,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Hyrex,support@hyrex.io,https://www.hyrex.io,Summer 2024,DevTools,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Redouble AI,info@redouble.ai,https://redouble.ai/,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Million,founders@million.dev,https://million.dev,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Undermind,support@undermind.ai,https://www.undermind.ai,Summer 2024,ML,YC Summer 2024 · ML · cold email for opportunity; ask to forward to hiring manager
Nuanced,ayman@nuanced.dev,https://www.nuanced.dev/,Winter 2024,DevTools,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Polymet,info@polymet.ai,https://polymet.ai,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Rastro,augustin@rastro.ai,https://rastro.ai,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Vortexify,support@vortexify.ai,https://www.vortexify.ai,Fall 2024,AI,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Affil.ai,hello@affil.ai,https://affil.ai/,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
OpenFoundry,hello@openfoundry.ai,https://www.openfoundry.ai/,Winter 2024,DevTools,YC Winter 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
AutoPallet Robotics,team@autopallet.bot,https://autopallet.bot,Summer 2024,ML,YC Summer 2024 · ML · cold email for opportunity; ask to forward to hiring manager
HeroUI,junior@heroui.com,https://heroui.com,Summer 2024,DevTools,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Linum,hello@linum.ai,https://www.linum.ai/,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Maxi,support@usemaxi.app,https://www.usemaxi.app,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Relvy AI,hello@relvy.ai,https://www.relvy.ai,Fall 2024,DevTools,YC Fall 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Surge,recruiting@surge.app,https://surge.app,Fall 2024,DevTools,YC Fall 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
CombineHealth,info@combinehealth.ai,https://www.combinehealth.ai/,Winter 2023,AI/ML,YC Winter 2023 · AI/ML · cold email for opportunity; ask to forward to hiring manager
AgentCollect,careers@agentcollect.com,https://www.agentcollect.com,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Arcimus,hussein@arcimus.com,https://www.arcimus.com/,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Reworkd,srijan@reworkd.ai,https://reworkd.ai,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Versive,support@getversive.com,https://www.getversive.com/,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Dialtone,contact@usedialtone.com,https://usedialtone.com,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Wattson Health,privacy@wattsonhealth.com,https://www.wattsonhealth.com,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Spine AI,support@getspine.ai,https://www.getspine.ai,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Terracotta AI,founders@tryterracotta.com,https://tryterracotta.com,Summer 2023,AI/DevTools,YC Summer 2023 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Slicker,hello@slickerhq.com,https://www.slickerhq.com,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Venta AI,info@getventa.ai,https://www.getventa.ai,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Trainy,sales@trainy.ai,https://trainy.ai/,Summer 2023,ML/DevTools,YC Summer 2023 · ML/DevTools · cold email for opportunity; ask to forward to hiring manager
Lightski,founders@lightski.com,https://www.lightski.com,Winter 2023,DevTools,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Persist AI,info@persist-ai.com,http://www.persist-ai.com,Winter 2023,ML,YC Winter 2023 · ML · cold email for opportunity; ask to forward to hiring manager
rex.fit,hello@rex.fit,https://www.rex.fit,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Scanbase,careers@scanbase.com,https://www.scanbase.com,Winter 2023,ML,YC Winter 2023 · ML · cold email for opportunity; ask to forward to hiring manager
Extend,support@extend.ai,https://www.extend.ai/,Winter 2023,DevTools,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
refine,info@refine.dev,https://refine.dev,Summer 2023,DevTools,YC Summer 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Metoro,jobs@metoro.io,https://metoro.io,Summer 2023,DevTools,YC Summer 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Skyhook,careers@skyhook.io,https://skyhook.io,Winter 2023,DevTools,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Depot,help@depot.dev,https://depot.dev,Winter 2023,DevTools,YC Winter 2023 · DevTools · cold email for opportunity; ask to forward to hiring manager
Conductor Quantum,founders@conductorquantum.com,https://www.conductorquantum.com,Summer 2024,AI/ML,YC Summer 2024 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
Syntra,support@syntra.com,https://www.syntra.com,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
The Forecasting Company,work@theforecastingcompany.com,https://www.theforecastingcompany.com,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
TaxGPT,support@taxgpt.com,https://www.taxgpt.com,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Innate,axel@innate.bot,https://innate.bot,Fall 2024,AI/DevTools,YC Fall 2024 · AI/DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Elayne,hello@elayne.com,https://www.elayne.com/,Summer 2024,AI,YC Summer 2024 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Thunder Compute,support@thundercompute.com,https://www.thundercompute.com,Summer 2024,DevTools,YC Summer 2024 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
1stCollab,hello@1stcollab.com,https://1stcollab.com/,Winter 2023,AI/ML,YC Winter 2023 · AI/ML · hiring · cold email for opportunity; ask to forward to hiring manager
Simbie AI,founders@simbie.ai,http://www.simbie.ai,Summer 2023,AI,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Orbio Earth,info@orbio.earth,https://www.orbio.earth/,Summer 2023,AI,YC Summer 2023 · AI · hiring · cold email for opportunity; ask to forward to hiring manager
Empirical Health,hello@empirical.health,https://empirical.health,Summer 2023,ML,YC Summer 2023 · ML · hiring · cold email for opportunity; ask to forward to hiring manager
Ndea,contact@ndea.com,https://ndea.com,Winter 2026,AI,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Atlia,founders@atlia.com,https://www.atlia.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Zenbu,rob@zenbu.dev,https://www.zenbu.dev/,Spring 2026,AI/DevTools,YC Spring 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Rapidfolio,careers@rapidfolio.com,https://rapidfolio.com/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
ParadeDB,hello@paradedb.com,https://paradedb.com,Summer 2023,DevTools,YC Summer 2023 · DevTools · hiring · cold email for opportunity; ask to forward to hiring manager
Kimpton,founders@kimpton.ai,https://kimpton.ai,Spring 2026,AI,YC Spring 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Kebra,founders@kebra.com,https://kebra.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Shofo,founders@shofo.ai,https://shofo.ai/,Winter 2026,AI,YC Winter 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Zaplar,founders@zaplar.com,https://zaplar.com,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Stratum Industries,founders@stratumindustries.co,https://stratumindustries.co/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
DeepReach Inc.,info@deepreach.ai,http://www.deepreach.ai,Summer 2026,AI/ML,YC Summer 2026 · AI/ML · cold email for opportunity; ask to forward to hiring manager
Agent FM,founders@agentfm.ai,https://www.agentfm.ai/,Summer 2026,AI/DevTools,YC Summer 2026 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Vendo,founders@vendo.run,https://vendo.run/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Waybill,hello@waybill.to,https://www.waybill.to/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Simulithic,hello@simulithic.com,https://simulithic.com,Fall 2026,AI,YC Fall 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Decawork,founders@decawork.ai,https://decawork.ai/,Summer 2026,AI,YC Summer 2026 · AI · cold email for opportunity; ask to forward to hiring manager
Dream,main@pingdream.com,https://www.pingdream.com/,Summer 2026,ML,YC Summer 2026 · ML · cold email for opportunity; ask to forward to hiring manager
Quantstruct,founders@quantstruct.com,https://quantstruct.com,Winter 2025,AI/DevTools,YC Winter 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Codag,michael@codag.ai,https://codag.ai/,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Inkbox,hello@inkbox.ai,https://inkbox.ai,Summer 2026,DevTools,YC Summer 2026 · DevTools · cold email for opportunity; ask to forward to hiring manager
Cuckoo Labs,hello@cuckoo.so,https://www.cuckoo.so/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Elip AI,gaurav@tryelip.ai,https://www.tryelip.ai/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Outlit,hello@outlit.ai,https://outlit.ai/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Praxim,contact@praxim.ai,https://www.praxim.ai/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
TamLabs,hello@tamlabs.ai,https://tamlabs.ai,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Harbera,founders@harbera.com,https://harbera.com/,Winter 2025,AI,YC Winter 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Wavedash,contact@wavedash.com,https://wavedash.com,Spring 2025,AI,YC Spring 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Stellon Labs,info@stellonlabs.com,https://stellonlabs.com/,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Tinfoil,work@tinfoil.sh,https://tinfoil.sh,Spring 2025,AI/DevTools,YC Spring 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Mimos,rohit@trymimos.com,https://www.trymimos.com/,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Knowlify,info@knowlify.com,https://www.knowlify.com/,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Monarcha,founders@monarcha.ai,https://monarcha.ai,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
