Company,Email,Person,Title,City,State,Category,Notes
NetApp,careers@netapp.com,Talent Acquisition,Careers,Bengaluru,Karnataka,Product/storage,VERIFIED careers inbox on netapp.com; MX OK; offices: Bengaluru
Nike,santosh.sahoo@nike.com,Team,Contact,Bengaluru,Karnataka,Retail-tech GCC,email santosh.sahoo@nike.com from existing repo list (domain match); Retail-tech GCC; applies via careers portal (no public email) - https://nike.com/careers; offices: Bengaluru
Nokia,wpcareers@nokia.com,Team,Contact,Bengaluru,Karnataka,Telecom/product,email wpcareers@nokia.com from existing repo list (domain match); Telecom/product; applies via careers portal (no public email) - https://www.nokia.com/about-us/careers/; offices: Bengaluru/Chennai/Noida
Nutanix,nayana.gupta@nutanix.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email nayana.gupta@nutanix.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.nutanix.com/careers; offices: Bengaluru/Pune
Nvidia,skuppuswamy@nvidia.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email skuppuswamy@nvidia.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite; offices: Bengaluru/Hyderabad/Pune
Okta,abraham.patrick@okta.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email abraham.patrick@okta.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://okta.com/careers; offices: Bengaluru
Onsemi,,,,Bengaluru,Karnataka,Semiconductor GCC,Semiconductor GCC; applies via careers portal (no public email) - https://onsemi.com/careers; offices: Bengaluru
OpenText,hr@opentext.com,Talent Acquisition,Careers,Bengaluru,Karnataka,Tech GCC,VERIFIED careers inbox on opentext.com; MX OK; offices: Bengaluru/Hyderabad
Oracle,Idchrd@in.oracle.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email Idchrd@in.oracle.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://careers.oracle.com/; offices: Bengaluru/Hyderabad
Palo Alto Networks,ichandra@paloaltonetworks.com,Indrani Chandra,Recruiting specialist - sourcer,Bengaluru,Karnataka,Cybersecurity,Vibe Prospecting HR contact (valid); Cybersecurity; applies via careers portal (no public email) - https://jobs.paloaltonetworks.com; offices: Bengaluru
Parker Hannifin,,,,Bengaluru,Karnataka,Industrial GCC,Industrial GCC; applies via careers portal (no public email) - https://parker.com/careers; offices: Bengaluru
Philips,ankit.Dubey@philips.com,Team,Contact,Bengaluru,Karnataka,Healthtech/software,email ankit.Dubey@philips.com from existing repo list (domain match); Healthtech/software; applies via careers portal (no public email) - https://philips.com/careers; offices: Bengaluru/Pune/Chennai
PhonePe,sameer@phonepe.com,Team,Contact,Bengaluru,Karnataka,Fintech product,email sameer@phonepe.com from existing repo list (domain match); Fintech product; applies via careers portal (no public email) - https://www.phonepe.com/careers/; offices: Bengaluru
PNC,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://pnc.com/careers; offices: Bengaluru
Postman,ajay@postman.com,Team,Contact,Bengaluru,Karnataka,Dev-tools product,email ajay@postman.com from existing repo list (domain match); Dev-tools product; applies via careers portal (no public email) - https://www.postman.com/company/careers/open-positions/; offices: Bengaluru
Prudential Financial,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://prudential.com/careers; offices: Bengaluru
Publicis Sapient,hiring@publicissapient.com,Talent Acquisition,Careers,Bengaluru,Karnataka,Digital consulting,VERIFIED careers inbox on publicissapient.com; MX OK; offices: Bengaluru/Gurugram/Noida
Pure Storage,hpare@purestorage.com,Team,Contact,Bengaluru,Karnataka,Tech GCC,email hpare@purestorage.com from existing repo list (domain match); Tech GCC; applies via careers portal (no public email) - https://pureharvest.ag/careers/; offices: Bengaluru
PwC,ashish.t@pwc.com,Team,Contact,Bengaluru,Karnataka,Consulting/tech,email ashish.t@pwc.com from existing repo list (domain match); Consulting/tech; applies via careers portal (no public email) - https://pwc.com/careers; offices: Bengaluru/Kolkata/Hyderabad
Rapid7,careers@rapid7.com,Talent Acquisition,Careers,Bengaluru,Karnataka,Cybersecurity GCC,VERIFIED careers inbox on rapid7.com; MX OK; offices: Bengaluru
Razorpay,ashwin.narayan@razorpay.com,Team,Contact,Bengaluru,Karnataka,Fintech product,email ashwin.narayan@razorpay.com from existing repo list (domain match); Fintech product; applies via careers portal (no public email) - https://razorpay.com/jobs/; offices: Bengaluru
RBC,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://rbc.com/careers; offices: Bengaluru
Redis,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://redis.com/careers; offices: Bengaluru
Regeneron,moinuddin.syed@regeneron.com,Team,Contact,Bengaluru,Karnataka,Pharma GCC,email moinuddin.syed@regeneron.com from existing repo list (domain match); Pharma GCC; applies via careers portal (no public email) - https://regeneron.com/careers; offices: Bengaluru
Renesas,,,,Bengaluru,Karnataka,Semiconductor,Semiconductor; applies via careers portal (no public email) - https://renesas.com/careers; offices: Bengaluru/Noida
Rolls-Royce,,,,Bengaluru,Karnataka,Aerospace GCC,Aerospace GCC; applies via careers portal (no public email) - https://rolls-royce.com/careers; offices: Bengaluru
Rubrik,rajdeep.singh@rubrik.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email rajdeep.singh@rubrik.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.rubrik.com/company/careers; offices: Bengaluru
Sabre,radha.vasanthkumar@sabre.com,Team,Contact,Bengaluru,Karnataka,Travel-tech GCC,email radha.vasanthkumar@sabre.com from existing repo list (domain match); Travel-tech GCC; applies via careers portal (no public email) - https://sabre.com/careers; offices: Bengaluru
Samsung,hr@semsoftindia.samsung.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email hr@semsoftindia.samsung.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://research.samsung.com/careers; offices: Bengaluru/Noida/Delhi
Santander,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://santander.com/careers; offices: Bengaluru
SAP,sheela.venkatesh@sap.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email sheela.venkatesh@sap.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://careers.publicissapient.com/; offices: Bengaluru/Pune/Gurugram
Sasken Technologies,careers@sasken.com,Team,Contact,Bengaluru,Karnataka,Embedded/IT,email careers@sasken.com from existing repo list (domain match); Embedded/IT; applies via careers portal (no public email) - https://www.sasken.com/careers; offices: Bengaluru
Schneider Electric,Piyush.mittal@se.com,Team,Contact,Bengaluru,Karnataka,Energy/software,email Piyush.mittal@se.com from existing repo list (domain match); Energy/software; applies via careers portal (no public email) - https://se.com/careers; offices: Bengaluru/Gurugram
Schroders,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://schroders.com/careers; offices: Bengaluru
Scotiabank,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://scotiabank.com/careers; offices: Bengaluru
Shell,manoj.acharya@shell.com,Team,Contact,Bengaluru,Karnataka,Energy GCC,email manoj.acharya@shell.com from existing repo list (domain match); Energy GCC; applies via careers portal (no public email) - https://shell.com/careers; offices: Bengaluru/Chennai
Siemens Healthineers,,,,Bengaluru,Karnataka,Medtech GCC,Medtech GCC; applies via careers portal (no public email) - https://jobs.siemens.com/careers; offices: Bengaluru
Societe Generale,,,,Bengaluru,Karnataka,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://careers.societegenerale.com/; offices: Bengaluru/Chennai
Sonata Software,career@sonata-software.com,Team,Contact,Bengaluru,Karnataka,IT services,email career@sonata-software.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.sonata-software.com/careers; offices: Bengaluru/Hyderabad
Standard Chartered,vinod.gurnani@sc.com,Team,Contact,Bengaluru,Karnataka,BFSI tech,email vinod.gurnani@sc.com from existing repo list (domain match); BFSI tech; applies via careers portal (no public email) - https://jobs.standardchartered.com/; offices: Bengaluru/Chennai
State Street,,,,Bengaluru,Karnataka,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://careers.statestreet.com/global/en; offices: Bengaluru/Hyderabad
Swiggy,,,,Bengaluru,Karnataka,Food-tech product,Food-tech product; applies via careers portal (no public email) - https://careers.swiggy.com/; offices: Bengaluru
Swiss Re,,,,Bengaluru,Karnataka,Insurance tech,Insurance tech; applies via careers portal (no public email) - https://swissre.com/careers; offices: Bengaluru
Synopsys,abhis@synopsys.com,Team,Contact,Bengaluru,Karnataka,Semiconductor EDA,email abhis@synopsys.com from existing repo list (domain match); Semiconductor EDA; applies via careers portal (no public email) - https://careers.synopsys.com/; offices: Bengaluru/Hyderabad/Noida
T-Mobile,,,,Bengaluru,Karnataka,Telecom GCC,Telecom GCC; applies via careers portal (no public email) - https://t-mobile.com/careers; offices: Bengaluru
T. Rowe Price,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://www.cult.fit/careers; offices: Bengaluru
Takeda,satyajit.dash@takeda.com,Team,Contact,Bengaluru,Karnataka,Pharma GCC,email satyajit.dash@takeda.com from existing repo list (domain match); Pharma GCC; applies via careers portal (no public email) - https://takeda.com/careers; offices: Bengaluru
Target,amit.sikarwar@target.com,Team,Contact,Bengaluru,Karnataka,Retail-tech GCC,email amit.sikarwar@target.com from existing repo list (domain match); Retail-tech GCC; applies via careers portal (no public email) - https://corporate.target.com/careers; offices: Bengaluru
Tata Elxsi,biswajit.biswas@tataelxsi.com,Team,Contact,Bengaluru,Karnataka,Design/embedded,email biswajit.biswas@tataelxsi.com from existing repo list (domain match); Design/embedded; applies via careers portal (no public email) - https://www.tata.com/careers/jobs/joblisting; offices: Bengaluru/Thiruvananthapuram
Tavant,careers.India@tavant.com,Team,Contact,Bengaluru,Karnataka,IT services,email careers.India@tavant.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.tavant.com/careers; offices: Bengaluru/Noida
Teradata,Naveen.Kukutapu@teradata.com,Team,Contact,Bengaluru,Karnataka,Data GCC,email Naveen.Kukutapu@teradata.com from existing repo list (domain match); Data GCC; applies via careers portal (no public email) - https://teradata.com/careers; offices: Bengaluru/Pune
Tesco Bengaluru,adarsh.jain@uk.tesco.com,Team,Contact,Bengaluru,Karnataka,Retail-tech GCC,email adarsh.jain@uk.tesco.com from existing repo list (domain match); Retail-tech GCC; applies via careers portal (no public email) - https://tesco.com/careers; offices: Bengaluru
Texas Instruments,hr@india.ti.com,Team,Contact,Bengaluru,Karnataka,Semiconductor,email hr@india.ti.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://careers.ti.com/; offices: Bengaluru
Thermo Fisher Scientific,kasiraman.sethuraman@thermofisher.com,Team,Contact,Bengaluru,Karnataka,Life-sciences GCC,email kasiraman.sethuraman@thermofisher.com from existing repo list (domain match); Life-sciences GCC; applies via careers portal (no public email) - https://thermofisher.com/careers; offices: Bengaluru/Hyderabad
Thomson Reuters,joji.george@thomsonreuters.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email joji.george@thomsonreuters.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://careers.thomsonreuters.com/us/en/search-results; offices: Bengaluru/Hyderabad
Travelers,,,,Bengaluru,Karnataka,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://travelers.com/careers; offices: Bengaluru
Tredence,ankit.singh@tredence.com,Team,Contact,Bengaluru,Karnataka,Analytics,email ankit.singh@tredence.com from existing repo list (domain match); Analytics; applies via careers portal (no public email) - https://tredence.com/careers; offices: Bengaluru
Trend Micro,,,,Bengaluru,Karnataka,Cybersecurity GCC,Cybersecurity GCC; applies via careers portal (no public email) - https://trendmicro.com/careers; offices: Bengaluru
Truist,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://truist.com/careers; offices: Bengaluru
Twilio,arazdan@twilio.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email arazdan@twilio.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.twilio.com/en-us/company/jobs; offices: Bengaluru
Uber,divya.garg@uber.com,Team,Contact,Bengaluru,Karnataka,Product/tech,email divya.garg@uber.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.aubergine.co/careers; offices: Bengaluru/Hyderabad
Unilever,sourav.agasti@unilever.com,Team,Contact,Bengaluru,Karnataka,Consumer GCC,email sourav.agasti@unilever.com from existing repo list (domain match); Consumer GCC; applies via careers portal (no public email) - https://unilever.com/careers; offices: Bengaluru/Mumbai
US Bank,,,,Bengaluru,Karnataka,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://careers.argusoft.com/; offices: Bengaluru/Gurugram
Veeam,,,,Bengaluru,Karnataka,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://veeam.com/careers; offices: Bengaluru
Visa,rmishra@visa.com,Team,Contact,Bengaluru,Karnataka,Fintech/product,email rmishra@visa.com from existing repo list (domain match); Fintech/product; applies via careers portal (no public email) - https://corporate.visa.com/en/jobs.html; offices: Bengaluru
VMware,vsinghal@vmware.com,Vikrant Singhal,Human resources manager,Bengaluru,Karnataka,Product/tech,Vibe Prospecting HR contact (catch_all); Product/tech; applies via careers portal (no public email) - https://vmware.com/careers; offices: Bengaluru/Pune
Volvo Group,,,,Bengaluru,Karnataka,Automotive GCC,Automotive GCC; applies via careers portal (no public email) - https://volvogroup.com/careers; offices: Bengaluru
Walmart Global Tech,chandan.singh@walmart.com,Team,Contact,Bengaluru,Karnataka,Retail-tech GCC,email chandan.singh@walmart.com from existing repo list (domain match); Retail-tech GCC; applies via careers portal (no public email) - https://careers.walmart.com/technology; offices: Bengaluru/Chennai
Wells Fargo,rajan.g@wellsfargo.com,Team,Contact,Bengaluru,Karnataka,BFSI tech,email rajan.g@wellsfargo.com from existing repo list (domain match); BFSI tech; applies via careers portal (no public email) - https://www.wellsfargojobs.com/en/jobs/; offices: Bengaluru/Hyderabad/Chennai
Western Digital,,,,Bengaluru,Karnataka,Semiconductor/storage,Semiconductor/storage; applies via careers portal (no public email) - https://jobs.smartrecruiters.com/WesternDigital; offices: Bengaluru
Wipro,ravi.sangam@wipro.com,Team,Contact,Bengaluru,Karnataka,IT services,email ravi.sangam@wipro.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://careers.wipro.com/careers-home/jobs; offices: Bengaluru/Hyderabad/Pune/Chennai
Zoom,,,,Bengaluru,Karnataka,Product/tech,Product/tech; applies via careers portal (no public email) - https://zoom.com/careers; offices: Bengaluru
Zscaler,suraj.patil@zscaler.com,Team,Contact,Bengaluru,Karnataka,Cybersecurity,email suraj.patil@zscaler.com from existing repo list (domain match); Cybersecurity; applies via careers portal (no public email) - https://www.zscaler.com/careers; offices: Bengaluru/Hyderabad/Mohali
UST,careers@ust.com,Talent Acquisition,Careers,Thiruvananthapuram,Kerala,IT services,VERIFIED careers inbox on ust.com; MX OK; offices: Thiruvananthapuram/Chennai/Bengaluru
Apollo Global,,,,Mumbai,Maharashtra,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://www.apollotyres.com/careers/; offices: Mumbai
BlackRock,,,,Mumbai,Maharashtra,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://careers.blackrock.com/; offices: Mumbai/Gurugram
BNP Paribas,,,,Mumbai,Maharashtra,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://bnpparibas.com/careers; offices: Mumbai/Chennai
Boehringer Ingelheim,,,,Mumbai,Maharashtra,Pharma GCC,Pharma GCC; applies via careers portal (no public email) - https://boehringer-ingelheim.com/careers; offices: Mumbai
BrowserStack,careers@browserstack.com,Talent Acquisition,Careers,Mumbai,Maharashtra,Dev-tools product,VERIFIED careers inbox on browserstack.com; MX OK; offices: Mumbai
Colgate-Palmolive,,,,Mumbai,Maharashtra,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://colgatepalmolive.com/careers; offices: Mumbai
Estee Lauder,,,,Mumbai,Maharashtra,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://elcompanies.com/careers; offices: Mumbai
General Mills,priyanka.prabhat@generalmills.com,Team,Contact,Mumbai,Maharashtra,Consumer GCC,email priyanka.prabhat@generalmills.com from existing repo list (domain match); Consumer GCC; applies via careers portal (no public email) - https://careers.societegenerale.com/; offices: Mumbai
L'Oreal,,,,Mumbai,Maharashtra,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://loreal.com/careers; offices: Mumbai/Bengaluru
LTIMindtree,kishor.khobre@ltimindtree.com,Team,Contact,Mumbai,Maharashtra,IT services,email kishor.khobre@ltimindtree.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://careers.ltimindtree.com/; offices: Mumbai/Bengaluru/Pune/Chennai
Marsh McLennan,,,,Mumbai,Maharashtra,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://marshmclennan.com/careers; offices: Mumbai/Gurugram/Pune
Mastek,rcpune@mastek.com,Team,Contact,Mumbai,Maharashtra,IT services,email rcpune@mastek.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.mastek.com/careers/; offices: Mumbai/Pune/Chennai/Noida
Mizuho,,,,Mumbai,Maharashtra,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://mizuhogroup.com/careers; offices: Mumbai/Bengaluru
Mondelez,,,,Mumbai,Maharashtra,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://mondelezinternational.com/careers; offices: Mumbai/Chennai
Nomura,tejas.ayyar@nomura.com,Team,Contact,Mumbai,Maharashtra,BFSI tech,email tejas.ayyar@nomura.com from existing repo list (domain match); BFSI tech; applies via careers portal (no public email) - https://nomura.com/careers; offices: Mumbai/Powai
Spotify,amarjit@spotify.com,Team,Contact,Mumbai,Maharashtra,Media/tech GCC,email amarjit@spotify.com from existing repo list (domain match); Media/tech GCC; applies via careers portal (no public email) - https://spotify.com/careers; offices: Mumbai/Gurugram
SS&C Technologies,,,,Mumbai,Maharashtra,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://ssctech.com/careers; offices: Mumbai/Gurugram
Tata Consultancy Services,balasubramaniam.atla@tcs.com,Team,Contact,Mumbai,Maharashtra,IT services,email balasubramaniam.atla@tcs.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.tata.com/careers/jobs/joblisting; offices: Mumbai/Chennai/Bengaluru/Pune
WNS,,,,Mumbai,Maharashtra,IT/BPM,IT/BPM; applies via careers portal (no public email) - https://www.wns.com/careers; offices: Mumbai/Pune/Bengaluru
WTW,,,,Mumbai,Maharashtra,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://wtwco.com/careers; offices: Mumbai/Thane/Gurugram
Reliance Jio,adep@jio.com,Team,Contact,Navi Mumbai,Maharashtra,Telecom/product,email adep@jio.com from existing repo list (domain match); Telecom/product; applies via careers portal (no public email) - https://jio.com/careers; offices: Navi Mumbai/Bengaluru/Hyderabad
abrdn,,,,Pune,Maharashtra,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://abrdn.com/careers; offices: Pune
Allianz,shashank.goel@allianz.com,Team,Contact,Pune,Maharashtra,Insurance tech,email shashank.goel@allianz.com from existing repo list (domain match); Insurance tech; applies via careers portal (no public email) - https://allianz.com/careers; offices: Pune/Thiruvananthapuram
Ansys,,,,Pune,Maharashtra,Simulation software,Simulation software; applies via careers portal (no public email) - https://ansys.com/careers; offices: Pune/Bengaluru
Autodesk,ravindar.mishra@autodesk.com,Team,Contact,Pune,Maharashtra,Product/tech,email ravindar.mishra@autodesk.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://autodesk.com/careers; offices: Pune/Bengaluru
Barclays,subramanian.srinivasan@barclays.com,Team,Contact,Pune,Maharashtra,BFSI tech,email subramanian.srinivasan@barclays.com from existing repo list (domain match); BFSI tech; applies via careers portal (no public email) - https://search.jobs.barclays/; offices: Pune/Chennai/Noida
Bloomberg,,,,Pune,Maharashtra,Fintech/product,Fintech/product; applies via careers portal (no public email) - https://careers.bloomberg.com/job/search; offices: Pune/Mumbai
BNY,,,,Pune,Maharashtra,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://www.bny.com/corporate/global/en/careers.html; offices: Pune/Chennai
bp,nikhil.chaudhari@bp.com,Team,Contact,Pune,Maharashtra,Energy GCC,email nikhil.chaudhari@bp.com from existing repo list (domain match); Energy GCC; applies via careers portal (no public email) - https://bp.com/careers; offices: Pune
Capgemini,nath.nallapeta@capgemini.com,Team,Contact,Pune,Maharashtra,IT services,email nath.nallapeta@capgemini.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.capgemini.com/in-en/careers/career-paths/students-and-graduates/; offices: Pune/Bengaluru/Mumbai/Chennai
Cencora,,,,Pune,Maharashtra,Healthcare GCC,Healthcare GCC; applies via careers portal (no public email) - https://cencora.com/careers; offices: Pune
Citi,rajan.chellappa@citi.com,Rajan Chellappa,Talent acquisition,Pune,Maharashtra,BFSI tech,Vibe Prospecting HR contact (valid); BFSI tech; applies via careers portal (no public email) - https://jobs.citi.com/; offices: Pune/Chennai/Bengaluru
Cummins,harshit.gupta@cummins.com,Team,Contact,Pune,Maharashtra,Industrial GCC,email harshit.gupta@cummins.com from existing repo list (domain match); Industrial GCC; applies via careers portal (no public email) - https://cummins.com/careers; offices: Pune
Cybage,freshers@cybage.com,Team,Contact,Pune,Maharashtra,IT services,email freshers@cybage.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.cybage.com/careers; offices: Pune/Hyderabad/Gandhinagar
CyberArk,,,,Pune,Maharashtra,Cybersecurity GCC,Cybersecurity GCC; applies via careers portal (no public email) - https://cyberark.com/careers; offices: Pune
Dassault Systemes,anindita.ranjan@3ds.com,Team,Contact,Pune,Maharashtra,Simulation software,email anindita.ranjan@3ds.com from existing repo list (domain match); Simulation software; applies via careers portal (no public email) - https://3ds.com/careers; offices: Pune/Bengaluru
Deutsche Bank,richa.lalwani@db.com,Richa Lalwani,Talent acquisition analyst,Pune,Maharashtra,BFSI tech,Vibe Prospecting HR contact (valid); BFSI tech; applies via careers portal (no public email) - https://careers.db.com/professionals/search-roles/; offices: Pune/Bengaluru/Mumbai
Deutsche Telekom,richa.lalwani@db.com,Richa Lalwani,Talent acquisition analyst,Pune,Maharashtra,Telecom GCC,Vibe Prospecting HR contact (valid); Telecom GCC; applies via careers portal (no public email) - https://careers.db.com/professionals/search-roles/; offices: Pune/Gurugram
Eaton,freshers@eaton.com,Team,Contact,Pune,Maharashtra,Industrial GCC,email freshers@eaton.com from existing repo list (domain match); Industrial GCC; applies via careers portal (no public email) - https://eaton.com/careers; offices: Pune
Emerson,careers.edec@emerson.com,Team,Contact,Pune,Maharashtra,Industrial GCC,email careers.edec@emerson.com from existing repo list (domain match); Industrial GCC; applies via careers portal (no public email) - https://www.emerson.com/en-us/careers; offices: Pune/Chennai/Mumbai
Endava,,,,Pune,Maharashtra,IT services,IT services; applies via careers portal (no public email) - https://www.endava.com/careers; offices: Pune/Bengaluru
FIS,deepak.singh@fisglobal.com,Team,Contact,Pune,Maharashtra,Fintech/BFSI,email deepak.singh@fisglobal.com from existing repo list (domain match); Fintech/BFSI; applies via careers portal (no public email) - https://fissionlabs.com/careers; offices: Pune/Bengaluru/Gurugram
Fiserv,sourabh.jain@fiserv.com,Team,Contact,Pune,Maharashtra,Fintech/BFSI,email sourabh.jain@fiserv.com from existing repo list (domain match); Fintech/BFSI; applies via careers portal (no public email) - https://fiserv.com/careers; offices: Pune/Noida/Bengaluru
Globant,ashish.paranjape@globant.com,Team,Contact,Pune,Maharashtra,Digital engineering,email ashish.paranjape@globant.com from existing repo list (domain match); Digital engineering; applies via careers portal (no public email) - https://www.globant.com/careers; offices: Pune/Bengaluru/Hyderabad
John Deere,patilyuvraj@deere.com,Team,Contact,Pune,Maharashtra,Industrial GCC,email patilyuvraj@deere.com from existing repo list (domain match); Industrial GCC; applies via careers portal (no public email) - https://deere.com/careers; offices: Pune
Johnson Controls,,,,Pune,Maharashtra,Industrial GCC,Industrial GCC; applies via careers portal (no public email) - https://johnsoncontrols.com/careers; offices: Pune/Mumbai
KPIT Technologies,,,,Pune,Maharashtra,Automotive software,Automotive software; applies via careers portal (no public email) - https://www.kpit.com/careers/; offices: Pune/Bengaluru
Marvell,bganguli@marvell.com,Baishakhi Ganguli,Talent development manager,Pune,Maharashtra,Semiconductor,Vibe Prospecting HR contact (valid); Semiconductor; applies via careers portal (no public email) - https://www.marvell.com/company/careers.html; offices: Pune/Bengaluru/Hyderabad
Mastercard,karan.saini@mastercard.com,Team,Contact,Pune,Maharashtra,Fintech/product,email karan.saini@mastercard.com from existing repo list (domain match); Fintech/product; applies via careers portal (no public email) - https://careers.mastercard.com/us/en; offices: Pune/Gurugram/Vadodara
NICE,satyendra.tyagi@nice.com,Team,Contact,Pune,Maharashtra,Tech GCC,email satyendra.tyagi@nice.com from existing repo list (domain match); Tech GCC; applies via careers portal (no public email) - https://www.nice.com/careers; offices: Pune
Northern Trust,,,,Pune,Maharashtra,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://northerntrust.com/careers; offices: Pune/Bengaluru
NOV,,,,Pune,Maharashtra,Energy GCC,Energy GCC; applies via careers portal (no public email) - https://innovaccer.com/careers; offices: Pune
Persistent Systems,,,,Pune,Maharashtra,IT services,IT services; applies via careers portal (no public email) - https://careers.persistent.com/; offices: Pune/Bengaluru/Hyderabad/Nagpur
Principal Financial,tiwari.dipak@principal.com,Team,Contact,Pune,Maharashtra,BFSI GCC,email tiwari.dipak@principal.com from existing repo list (domain match); BFSI GCC; applies via careers portal (no public email) - https://principal.com/careers; offices: Pune
PTC,,,,Pune,Maharashtra,Product/tech,Product/tech; applies via careers portal (no public email) - https://ptc.com/careers; offices: Pune/Bengaluru
Qualys,adhole@qualys.com,Team,Contact,Pune,Maharashtra,Cybersecurity GCC,email adhole@qualys.com from existing repo list (domain match); Cybersecurity GCC; applies via careers portal (no public email) - https://qualys.com/careers; offices: Pune
Roche,alkesh.dagade@roche.com,Team,Contact,Pune,Maharashtra,Pharma GCC,email alkesh.dagade@roche.com from existing repo list (domain match); Pharma GCC; applies via careers portal (no public email) - https://roche.com/careers; offices: Pune/Chennai
Rockwell Automation,arjun.janamatti@rockwellautomation.com,Team,Contact,Pune,Maharashtra,Industrial GCC,email arjun.janamatti@rockwellautomation.com from existing repo list (domain match); Industrial GCC; applies via careers portal (no public email) - https://rockwellautomation.com/careers; offices: Pune/Bengaluru
SailPoint,jobs@sailpoint.com,Talent Acquisition,Careers,Pune,Maharashtra,Cybersecurity GCC,VERIFIED careers inbox on sailpoint.com; MX OK; offices: Pune
Siemens,career.scs@siemens.com,Team,Contact,Pune,Maharashtra,Engineering/software,email career.scs@siemens.com from existing repo list (domain match); Engineering/software; applies via careers portal (no public email) - https://jobs.siemens.com/careers; offices: Pune/Bengaluru/Gurugram
SLB,ajain7@slb.com,Team,Contact,Pune,Maharashtra,Energy GCC,email ajain7@slb.com from existing repo list (domain match); Energy GCC; applies via careers portal (no public email) - https://slb.com/careers; offices: Pune/Bengaluru
Snowflake,ayushi.bhagat@snowflake.com,Team,Contact,Pune,Maharashtra,Data/AI product,email ayushi.bhagat@snowflake.com from existing repo list (domain match); Data/AI product; applies via careers portal (no public email) - https://careers.snowflake.com/us/en; offices: Pune/Bengaluru
Tech Mahindra,career@techmahindra.com,Team,Contact,Pune,Maharashtra,IT services,email career@techmahindra.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.silvertouch.com/career/; offices: Pune/Bengaluru/Hyderabad/Noida
